school,test_optional,number_of_applicants,accept_rate,sat_25th_percentile,sat_75th_percentile,act_25th_percentile,act_75th_percentile
College of the Holy Cross,True,7200,0.342,1260.0,1430.0,28.0,32.0
Bucknell University,True,9845,0.342,1255.0,1430.0,28.0,32.0
Emerson College,True,12941,0.35600000000000004,1200.0,1390.0,27.0,31.0
Pepperdine University,True,11265,0.35700000000000004,1220.0,1420.0,26.0,32.0
Hampton University,True,13028,0.36,1040.0,1310.0,19.0,24.0
Oberlin College,True,7708,0.364,1280.0,1480.0,29.0,33.0
CUNY--Hunter,True,31030,0.364,1090.0,1260.0,,
Occidental College,True,7501,0.36700000000000005,1300.0,1480.0,28.0,32.0
Connecticut College,True,6784,0.374,1310.0,1450.0,30.0,33.0
College of William and Mary,True,14680,0.377,1320.0,1510.0,30.0,34.0
Mount Holyoke College,True,3908,0.382,1270.0,1490.0,27.0,32.0
Berea College,True,1576,0.382,1030.0,1213.0,22.0,27.0
Pratt Institute,True,7941,0.385,1100.0,1320.0,26.0,30.0
Soka University of America,True,464,0.38799999999999996,1180.0,1410.0,27.0,30.0
California State University--Los Angeles,True,39854,0.39,890.0,1080.0,15.0,20.0
California State University--Long Beach,True,71297,0.39299999999999996,1040.0,1250.0,20.0,26.0
Reed College,True,5815,0.395,1325.0,1520.0,30.0,34.0
Binghamton University—​SUNY,True,38755,0.39799999999999996,1310.0,1440.0,28.0,32.0
Dickinson College,True,6426,0.401,1240.0,1410.0,28.0,32.0
University of Tulsa,True,8526,0.408,1180.0,1410.0,25.0,32.0
George Washington University,True,26968,0.409,1280.0,1470.0,29.0,33.0
University of California—​Davis,True,76647,0.41200000000000003,1150.0,1410.0,25.0,31.0
Stevens Institute of Technology,True,9265,0.414,1330.0,1480.0,30.0,33.0
St. Lawrence University,True,6998,0.424,1160.0,1350.0,24.0,30.0
Union College (Schenectady NY),True,6086,0.429,1220.0,1420.0,27.0,32.0
Rensselaer Polytechnic Institute,True,20402,0.43,1330.0,1500.0,29.0,33.0
Bentley University,True,9252,0.43200000000000005,1240.0,1410.0,28.0,32.0
CUNY--Baruch College,True,20303,0.434,1130.0,1330.0,,
Spelman College,True,9106,0.434,1080.0,1230.0,22.0,26.0
Loyola Marymount University,True,18592,0.43799999999999994,1230.0,1410.0,27.0,31.0
University of Maryland—​College Park,True,32987,0.441,1280.0,1480.0,29.0,33.0
Stony Brook University—​SUNY,True,37079,0.441,1230.0,1440.0,26.0,32.0
Rhodes College,True,5207,0.447,1220.0,1430.0,27.0,32.0
North Carolina State University—​Raleigh,True,30995,0.449,1250.0,1390.0,27.0,31.0
Baylor University,True,34582,0.45299999999999996,1200.0,1380.0,26.0,32.0
University of Dallas,True,4676,0.45299999999999996,1150.0,1360.0,24.0,30.0
Gettysburg College,True,6269,0.45399999999999996,1270.0,1420.0,26.0,30.0
Fordham University,True,46308,0.46,1250.0,1430.0,28.0,32.0
Texas Christian University,True,19028,0.47100000000000003,1150.0,1350.0,25.0,31.0
Southern Methodist University,True,13959,0.473,1300.0,1480.0,29.0,33.0
Providence College,True,11478,0.475,1210.0,1350.0,27.0,31.0
St. Olaf College,True,5694,0.475,1190.0,1430.0,26.0,32.0
University of New Mexico,True,12281,0.486,1040.0,1270.0,19.0,25.0
University of Georgia,True,26027,0.486,1240.0,1410.0,27.0,32.0
University of San Diego,True,13755,0.48700000000000004,1200.0,1350.0,26.0,31.0
