school,test_optional,number_of_applicants,accept_rate,sat_25th_percentile,sat_75th_percentile,act_25th_percentile,act_75th_percentile
Weber State,True,6853,0.8909999999999999,,,18.0,24.0
University of Maine,True,13118,0.902,1050.0,1260.0,21.0,27.0
Humboldt State University,True,16335,0.909,980.0,1190.0,17.0,25.0
Utah State,True,15276,0.91,1050.0,1310.0,21.0,28.0
Iowa State University,True,18246,0.9209999999999999,1100.0,1340.0,22.0,28.0
Washington College,True,2225,0.924,1090.0,1300.0,20.0,29.0
University of Montana,True,6182,0.9259999999999999,1060.0,1270.0,21.0,26.0
Samford University,True,3912,0.929,1070.0,1250.0,23.0,29.0
University of Kansas,True,15093,0.9309999999999999,,,23.0,29.0
University of Kentucky,True,19324,0.945,1080.0,1300.0,23.0,29.0
University of Toledo,True,10228,0.951,1000.0,1240.0,20.0,26.0
Kansas State University,True,8140,0.9570000000000001,,,22.0,28.0
Portland State,True,7821,0.961,1010.0,1230.0,18.0,25.0
Queens University of Charlotte,True,2319,0.9620000000000001,1040.0,1240.0,21.0,27.0
Western Kentucky,True,8245,0.973,990.0,1220.0,19.0,27.0
United States Naval Academy,False,16332,0.083,1240.0,1520.0,27.0,32.0
United States Military Academy,False,11675,0.10300000000000001,1160.0,1380.0,25.0,30.0
United States Air Force Academy,False,10354,0.111,1230.0,1440.0,28.0,33.0
United States Coast Guard Academy,False,2274,0.128,1245.0,1420.0,26.0,31.0
United States Merchant Maritime Academy,False,1693,0.248,1200.0,1340.0,25.0,31.0
Howard University,False,20946,0.316,1140.0,1285.0,22.0,27.0
Florida State University,False,58936,0.36,1200.0,1340.0,26.0,30.0
Hillsdale College,False,2208,0.36,1275.0,1465.0,29.0,32.0
University of Central Florida,False,35240,0.382,1160.0,1340.0,25.0,29.0
University of Florida,False,38905,0.38799999999999996,1280.0,1440.0,27.0,32.0
University of South Florida,False,36986,0.47700000000000004,1170.0,1330.0,25.0,29.0
Gallaudet University,False,496,0.5710000000000001,793.0,1078.0,15.0,20.0
Florida International,False,18492,0.575,1240.0,1300.0,23.0,28.0
Morehouse College,False,3554,0.579,1010.0,1210.0,20.0,25.0
University of Alabama,False,37302,0.591,1060.0,1280.0,23.0,31.0
Milwaukee School of Engineering,False,3552,0.617,,,25.0,30.0
Florida Institute of Technology,False,9743,0.657,1150.0,1360.0,24.0,30.0
Louisiana State University—​Baton Rouge,False,24501,0.746,1080.0,1310.0,23.0,29.0
The Citadel,False,2742,0.747,1050.0,1230.0,20.0,25.0
New College of Florida,False,1340,0.768,1220.0,1420.0,26.0,31.0
Thomas Aquinas College,False,211,0.777,1220.0,1400.0,25.0,30.0
University of Texas Rio Grande Valley,False,10680,0.7979999999999999,950.0,1130.0,17.0,22.0
University of South Dakota,False,4434,0.8640000000000001,990.0,1180.0,19.0,25.0
University of Mississippi,False,15371,0.8809999999999999,1050.0,1270.0,21.0,29.0
University of Wyoming,False,5348,0.96,1060.0,1280.0,22.0,28.0
University of Texas El Paso,False,7157,0.9990000000000001,820.0,1050.0,17.0,23.0
